year	month	area_this_epoch	area_next_epoch
d	d	d	d
1999	5	SLE	SLE
1999	7	SLE	SLE
1999	3	NLE	NLE
1999	5	NLE	NLE
1999	7	SLE	SLE
1999	8	SLE	SLE
1999	10	NLE	SLE
1999	1	SLE	SLE
1999	3	SLE	NLE
1999	5	SLE	NLE
1999	7	SLE	SLE
1999	8	SLE	SLE
1999	10	NLE	NLE
1999	5	NLE	AEG
1999	7	AEG	ION
1999	8	CEN	CEN
1999	10	CEN	SLE
1999	1	SLE	ION
1999	3	CEN	CEN
1999	5	CEN	SLE
1999	7	SLE	SLE
1999	8	SLE	SLE
1999	1	NLE	NLE
1999	5	ION	ION
1999	7	ION	CEN
1999	8	CEN	CEN
1999	10	CEN	SLE
1999	1	AEG	AEG
1999	5	AEG	AEG
1999	7	AEG	AEG
1999	10	AEG	AEG
1999	1	AEG	AEG
1999	3	AEG	AEG
1999	7	AEG	AEG
1999	1	SLE	SLE
1999	3	SLE	SLE
1999	5	SLE	SLE
1999	7	SLE	SLE
1999	8	SLE	SLE
1999	7	NLE	NLE
1999	1	SLE	SLE
1999	3	NLE	SLE
1999	1	SLE	SLE
1999	3	NLE	SLE
1999	1	SLE	NLE
1999	3	SLE	NLE
1999	5	SLE	SLE
1999	7	SLE	SLE
1999	8	SLE	NLE
1999	10	NLE	NLE
1999	8	SLE	NLE
1999	1	NLE	SLE
1999	1	SLE	SLE
1999	3	SLE	SLE
1999	3	SLE	SLE
1999	5	SLE	SLE
1999	1	SLE	SLE
1999	5	NLE	SLE
1999	7	SLE	SLE
1999	8	NLE	NLE
1999	10	SLE	SLE
1999	7	NLE	SLE
1999	1	SLE	SLE
1999	3	NLE	SLE
1999	7	NLE	SLE
1999	8	SLE	SLE
1999	10	SLE	SLE
1999	1	SLE	NLE
1999	3	NLE	NLE
1999	5	NLE	SLE
1999	7	SLE	SLE
1999	8	SLE	SLE
1999	10	SLE	SLE
1999	1	NLE	SLE
1999	5	SLE	SLE
1999	7	SLE	SLE
1999	1	NLE	NLE
1999	3	NLE	NLE
1999	1	SLE	SLE
1999	3	SLE	SLE
1999	5	SLE	SLE
1999	1	SLE	SLE
1999	3	NLE	NLE
1999	5	SLE	SLE
1999	7	NLE	NLE
1999	8	SLE	ION
1999	10	ION	ION
1999	8	ION	ION
1999	10	ION	ION
1999	1	SLE	NLE
1999	3	SLE	SLE
1999	5	CEN	SLE
1999	7	SLE	SLE
1999	8	SLE	SLE
1999	10	SLE	NLE
1999	1	NLE	NLE
1999	1	SLE	SLE
1999	3	NLE	NLE
1999	7	ION	ION
1999	5	SLE	SLE
1999	1	SLE	SLE
1999	3	SLE	NLE
1999	5	NLE	SLE
1999	7	SLE	NLE
1999	10	AEG	AEG
1999	1	NLE	NLE
1999	3	SLE	SLE
1999	1	NLE	SLE
1999	3	SLE	SLE
1999	5	SLE	SLE
1999	7	SLE	SLE
1999	8	SLE	SLE
1999	10	SLE	SLE
1999	1	NLE	NLE
1999	1	SLE	SLE
1999	3	SLE	SLE
1999	5	SLE	SLE
1999	7	SLE	NLE
1999	1	SLE	NLE
1999	5	NLE	NLE
1999	7	NLE	NLE
1999	10	ION	ION
1999	1	NLE	NLE
1999	3	SLE	SLE
1999	1	NLE	NLE
1999	3	NLE	SLE
1999	5	SLE	SLE
1999	7	SLE	SLE
1999	8	SLE	SLE
1999	10	SLE	SLE
1999	1	NLE	NLE
1999	3	NLE	NLE
1999	5	NLE	NLE
1999	7	SLE	SLE
