supp	conf	cove	year	month	area_this_epoch	lonm_this_epoch	latm_this_epoch	area_next_epoch	lonm_next_epoch	latm_next_epoch
0.000068	0.098039	0.000698	1999	11	SWE	4.799800	38.025700	NWE	28.656000	33.044300
0.000479	0.686275	0.000698	1999	11	SWE	4.799800	38.025700	SWE	4.799800	38.025700
0.000089	0.127451	0.000698	1999	11	SWE	4.799800	38.025700	TYR	4.799800	38.025700
0.000062	0.072000	0.000855	1999	11	TYR	4.799800	38.025700	CEN	4.799800	38.025700
0.000055	0.064000	0.000855	1999	11	TYR	4.799800	38.025700	NWE	4.799800	38.025700
0.000027	0.032000	0.000855	1999	11	TYR	4.799800	38.025700	SWE	4.799800	38.025700
0.000711	0.832000	0.000855	1999	11	TYR	4.799800	38.025700	TYR	4.799800	38.025700
0.000513	1.000000	0.000513	1999	12	ADR	15.921000	42.786200	ADR	15.921000	42.786200
0.000397	0.906250	0.000438	1999	12	AEG	25.031300	37.882500	AEG	25.031300	37.882500
0.000027	0.062500	0.000438	1999	12	AEG	25.031300	37.882500	CEN	25.031300	37.882500
0.000014	0.031250	0.000438	1999	12	AEG	25.031300	37.882500	ION	25.031300	37.882500
0.000075	0.611111	0.000123	1999	12	ALB	-2.555600	36.178800	ALB	-2.555600	36.178800
0.000007	0.055556	0.000123	1999	12	ALB	-2.555600	36.178800	NWE	-2.555600	36.178800
0.000041	0.333333	0.000123	1999	12	ALB	-2.555600	36.178800	SWE	4.799800	38.025700
0.001956	0.798883	0.002449	1999	12	CEN	-2.555600	36.178800	CEN	4.799800	38.025700
0.000233	0.094972	0.002449	1999	12	CEN	-2.555600	36.178800	ION	4.799800	38.025700
0.000260	0.106145	0.002449	1999	12	CEN	-2.555600	36.178800	SLE	28.656000	33.044300
0.000021	0.027273	0.000752	1999	12	ION	-2.555600	36.178800	ADR	15.921000	42.786200
0.000007	0.009091	0.000752	1999	12	ION	-2.555600	36.178800	AEG	25.031300	37.882500
0.000150	0.200000	0.000752	1999	12	ION	-2.555600	36.178800	CEN	25.031300	37.882500
0.000575	0.763636	0.000752	1999	12	ION	-2.555600	36.178800	ION	25.031300	37.882500
0.000014	0.021053	0.000650	1999	12	NLE	31.774200	35.347200	AEG	25.031300	37.882500
0.000014	0.021053	0.000650	1999	12	NLE	31.774200	35.347200	CEN	25.031300	37.882500
0.000438	0.673684	0.000650	1999	12	NLE	31.774200	35.347200	NLE	31.774200	35.347200
0.000185	0.284211	0.000650	1999	12	NLE	31.774200	35.347200	SLE	28.656000	33.044300
0.000958	0.843373	0.001135	1999	12	NWE	31.774200	35.347200	NWE	28.656000	33.044300
0.000171	0.150602	0.001135	1999	12	NWE	31.774200	35.347200	SWE	4.799800	38.025700
0.000007	0.006024	0.001135	1999	12	NWE	31.774200	35.347200	TYR	4.799800	38.025700
0.000055	0.035242	0.001553	1999	12	SLE	28.656000	33.044300	CEN	4.799800	38.025700
0.000007	0.004405	0.001553	1999	12	SLE	28.656000	33.044300	ION	4.799800	38.025700
0.000253	0.162996	0.001553	1999	12	SLE	28.656000	33.044300	NLE	31.774200	35.347200
0.001238	0.797357	0.001553	1999	12	SLE	28.656000	33.044300	SLE	28.656000	33.044300
0.000089	0.100775	0.000882	1999	12	SWE	4.799800	38.025700	CEN	28.656000	33.044300
0.000055	0.062016	0.000882	1999	12	SWE	4.799800	38.025700	NWE	28.656000	33.044300
0.000581	0.658915	0.000882	1999	12	SWE	4.799800	38.025700	SWE	4.799800	38.025700
0.000157	0.178295	0.000882	1999	12	SWE	4.799800	38.025700	TYR	4.799800	38.025700
0.000055	0.059259	0.000923	1999	12	TYR	4.799800	38.025700	CEN	4.799800	38.025700
0.000055	0.059259	0.000923	1999	12	TYR	4.799800	38.025700	NWE	4.799800	38.025700
0.000014	0.014815	0.000923	1999	12	TYR	4.799800	38.025700	SWE	4.799800	38.025700
0.000800	0.866667	0.000923	1999	12	TYR	4.799800	38.025700	TYR	4.799800	38.025700
0.000096	0.933333	0.000103	1999	2	ADR	15.921000	42.786200	ADR	15.921000	42.786200
0.000007	0.066667	0.000103	1999	2	ADR	15.921000	42.786200	ION	15.921000	42.786200
0.000089	1.000000	0.000089	1999	2	AEG	25.031300	37.882500	AEG	25.031300	37.882500
0.000027	0.500000	0.000055	1999	2	ALB	-2.555600	36.178800	ALB	-2.555600	36.178800
0.000027	0.500000	0.000055	1999	2	ALB	-2.555600	36.178800	SWE	4.799800	38.025700
0.000301	0.830189	0.000363	1999	2	CEN	-2.555600	36.178800	CEN	4.799800	38.025700
0.000021	0.056604	0.000363	1999	2	CEN	-2.555600	36.178800	ION	4.799800	38.025700
0.000041	0.113208	0.000363	1999	2	CEN	-2.555600	36.178800	SLE	28.656000	33.044300
0.000021	0.150000	0.000137	1999	2	ION	-2.555600	36.178800	CEN	28.656000	33.044300
0.000116	0.850000	0.000137	1999	2	ION	-2.555600	36.178800	ION	28.656000	33.044300
0.000007	0.058824	0.000116	1999	2	NLE	31.774200	35.347200	AEG	25.031300	37.882500
0.000075	0.647059	0.000116	1999	2	NLE	31.774200	35.347200	NLE	31.774200	35.347200
0.000034	0.294118	0.000116	1999	2	NLE	31.774200	35.347200	SLE	28.656000	33.044300
0.000171	0.833333	0.000205	1999	2	NWE	31.774200	35.347200	NWE	28.656000	33.044300
0.000034	0.166667	0.000205	1999	2	NWE	31.774200	35.347200	SWE	4.799800	38.025700
0.000007	0.028571	0.000239	1999	2	SLE	28.656000	33.044300	CEN	4.799800	38.025700
0.000027	0.114286	0.000239	1999	2	SLE	28.656000	33.044300	NLE	31.774200	35.347200
0.000205	0.857143	0.000239	1999	2	SLE	28.656000	33.044300	SLE	28.656000	33.044300
0.000007	0.041667	0.000164	1999	2	SWE	4.799800	38.025700	CEN	28.656000	33.044300
0.000027	0.166667	0.000164	1999	2	SWE	4.799800	38.025700	NWE	28.656000	33.044300
0.000109	0.666667	0.000164	1999	2	SWE	4.799800	38.025700	SWE	4.799800	38.025700
0.000021	0.125000	0.000164	1999	2	SWE	4.799800	38.025700	TYR	4.799800	38.025700
0.000007	0.041667	0.000164	1999	2	TYR	4.799800	38.025700	CEN	4.799800	38.025700
0.000014	0.083333	0.000164	1999	2	TYR	4.799800	38.025700	NWE	4.799800	38.025700
0.000144	0.875000	0.000164	1999	2	TYR	4.799800	38.025700	TYR	4.799800	38.025700
0.000198	1.000000	0.000198	1999	3	ADR	15.921000	42.786200	ADR	15.921000	42.786200
0.000137	1.000000	0.000137	1999	3	AEG	25.031300	37.882500	AEG	25.031300	37.882500
